login,n,name,blog
a-rosenberg,1,NA,
adidoit,1,adi pradhan,http://adidoit.github.io
Adrianzo,1,A. s.,
agila5,1,Andrea Gilardi,NA
ajay-d,1,Ajay Deonarine,http://deonarine.com/
AlanFeder,1,NA,NA
aleloi,1,NA,
alonzi,1,pete,NA
ALShum,1,Alex,www.ALShum.com
amacfarland,1,Andrew M.,
andland,1,Andrew Landgraf,http://andrewlandgraf.com
angela-li,1,Angela Li,
ariespirgel,2,NA,https://arie.rbind.io
aviast,1,Michael Henry,NA
azzaea,1,Azza Ahmed,https://azzaea.netlify.com/
BarkleyBG,1,Brian G. Barkley,BarkleyBG.netlify.com
batpigandme,3,Mara Averick,https://twitter.com/dataandme
batpigandme,3,Mara Averick,https://twitter.com/dataandme
bbrewington,1,Brent Brewington,NA
behrman,29,Bill Behrman,NA
benherbertson,3,Ben Herbertson,NA
benmarwick,2,Ben Marwick,http://faculty.washington.edu/bmarwick/
bensteinberg,4,Ben Steinberg,NA
bentyeh,1,Benjamin Yeh,https://bentyeh.github.io
bgreenwell,9,Brandon Greenwell,NA
BinxiePeterson,1,Bianca Peterson,
BirgerNi,1,NA,
bklamer,11,Brett Klamer,NA
boardtc,1,NA,
camillevleonard,1,Camille V Leonard,https://www.camillevleonard.com/
chrMongeau,1,Christian Mongeau,http://mongeau.net
coopermor,2,Cooper Morris,NA
csgillespie,7,Colin Gillespie,http://www.mas.ncl.ac.uk/~ncsg3/
csrvermaak,7,Rademeyer Vermaak,NA
curious-abhinav,1,Abhinav Singh,https://curious-abhinav.github.io
curtisalexander,1,Curtis Alexander,https://www.calex.org
cwarden,2,Christian G. Warden,http://xn.pinkhamster.net/
cwickham,1,Charlotte Wickham,http://cwick.co.nz
darrkj,1,Kenny Darrell,http://darrkj.github.io/blogs
davidrubinger,1,David Rubinger,NA
DDClark,1,David Clark,NA
derwinmcgeary,1,Derwin McGeary,http://derwinmcgeary.github.io
dgromer,2,Daniel Gromer,NA
djbirke,1,NA,NA
dongzhuoer,5,Zhuoer Dong,https://dongzhuoer.github.io
dpastoor,2,Devin Pastoor,NA
DSGeoff,1,NA,
duju211,12,Julian During,NA
dylancashman,1,Dylan Cashman,https://www.eecs.tufts.edu/~dcashm01/
eddelbuettel,1,Dirk Eddelbuettel,http://dirk.eddelbuettel.com
EdwinTh,4,Edwin Thoen,thats-so-random.com
EdwinTh,4,Edwin Thoen,thats-so-random.com
elgabbas,1,Ahmed El-Gabbas,https://elgabbas.github.io
EricKit,1,Eric Kitaif,
ericwatt,1,Eric Watt,www.ericdwatt.com
erikerhardt,2,Erik Erhardt,StatAcumen.com
etiennebr,2,Etienne B. Racine,NA
evjrob,1,Everett Robinson,NA
flemmingmiguel,1,Flemming Villalona,
florisvdh,1,Floris Vanderhaeghe,NA
funkybluehen,1,NA,
gabrivera,1,NA,
gadenbuie,1,Garrick Aden-Buie,https://garrickadenbuie.com
garrettgman,103,Garrett Grolemund,NA
garrettgman,103,Garrett Grolemund,
GoldbergData,1,Josh Goldberg,https://twitter.com/GoldbergData
gridgrad,1,bahadir cankardes,NA
gustavdelius,2,Gustav W Delius,NA
hadley,799,Hadley Wickham,http://hadley.nz
hadley,799,Hadley Wickham,http://hadley.nz
hao-trivago,2,Hao Chen,NA
harrismcgehee,7,Harris McGehee,https://gist.github.com/harrismcgehee
hendrikweisser,1,NA,
hengnicai,1,Hengni Cai,NA
iansealy,3,Ian Sealy,NA
ijlyttle,3,Ian Lyttle,NA
ivan-krukov,1,Ivan Krukov,NA
jacobkap,1,Jacob Kaplan,http://crimedatatool.com/
jazzlw,1,Jazz Weisman,NA
JBGruber,1,Johannes Gruber,https://www.johannesbgruber.eu/
